0  3.58916
1  3.59582
2  3.59586
3  3.59586
4  3.59586
5  3.59586
6  3.59586
7  3.59586
8  3.59586
9  3.59586
10  3.59586
11  3.59586
0 0.000548601
1 0.282512
2 0.284531
3 0.284903
4 0.284972
5 0.284985
6 0.284987
7 0.284988
8 0.284988
9 0.284988
10 0.284989
11 0.284991
0 1.93313e-05
1 0.123362
2 0.158134
3 0.430933
4 0.580189
5 0.589933
6 0.590363
7 0.590381
8 0.590382
9 0.590382
10 0.590382
11 0.590382
0 1.93155e-05
1 0.121709
2 0.122243
3 0.122514
4  0.12265
5 0.122719
6 0.122753
7  0.12277
8 0.122778
9 0.122782
10 0.122785
11 0.122786
0 9.33052e-07
1 0.0866016
2 0.0866199
3 0.0866906
4 0.0869651
5 0.0880182
6 0.0918833
7  0.10404
8  0.12912
9 0.153964
10 0.165841
11 0.169595
0 9.25602e-07
1 0.0873021
2 0.0873023
3 0.0873023
4 0.0873023
5 0.0873023
6 0.0873023
7 0.0873023
8 0.0873023
9 0.0873023
10 0.0873023
11 0.0873023
0 1.68869e-07
1 0.0143096
2 0.098138
3 0.0981544
4 0.0981544
5 0.0981544
6 0.0981544
7 0.0981544
8 0.0981544
9 0.0981544
10 0.0981544
11 0.0981544
